FR0000033904;Jacquet Metals;JCQ
FR0000034548;Union Fin.France;UFF
FR0000034894;Gaumont;GAM
FR0000035164;Beneteau;BEN
FR0000035370;Bastide Le Confort;BLC
FR0000036675;Groupe Crit;CEN
FR0000036816;Tour Eiffel;EIFF
FR0000038242;Lumibird;LBIRD
FR0000038606;Manitou Bf;MTU
FR0000039109;Seche Environnement;SCHP
FR0000039216;Altareit;AREIT
FR0000039620;Mersen;MRN
FR0000045213;Crcam Ille-Vil.Cci;CIV
FR0000045528;Crcam Paris Et Idf;CAF
FR0000050049;Viel Et Compagnie;VIL
FR0000051070;Maurel Et Prom;MAU
FR0000051393;Idi;IDIP
FR0000052680;Oeneo;SBT
FR0000053027;Akwel;AKW
FR0000053324;Alpes (compagnie);CDA
FR0000053381;Derichebourg;DBG
FR0000053399;CNIM Group;COM
FR0000053506;Cegedim;CGM
FR0000053514;PCAS;PCA
FR0000053837;Altamir;LTA
FR0000054678;Euro Ressources;EUR
FR0000060071;Samse;SAMS
FR0000060329;Psb Industries;PSB
FR0000060535;Fiducial Real Estate;ORIA
FR0000060618;Rallye;RAL
FR0000061129;Boiron;BOI
FR0000061459;Gerard Perrier Industrie;PERR
FR0000062101;Ferm.Cas.Mun.Canne;FCMC
FR0000062150;Bleecker;BLEE
FR0000062671;Groupe Gorge;GOE
FR0000063737;Aubay;AUB
FR0000063935;Bonduelle;BON
FR0000064271;STEF;STF
FR0000065484;Lectra;LSS
FR0000066672;Gl Events;GLO
FR0000066755;Haulotte Group;PIG
FR0000071797;Infotel;INF
FR0000072399;Belier;BELI
FR0000074072;Bigben Interactive;BIG
FR0000074122;Sii;SII
FR0000074148;Assystem;ASY
FR0000076986;Financiere Moncey;MONC
FR0000120107;Savencia;SAVE
FR0000120560;Quadient;QDT
FR0000121691;Nrj Group;NRG
FR0000130692;Chargeurs;CRI
FR0000131757;Eramet;ERA
FR0000185514;Crcam Nord Cci;CNF
FR0004007813;Kaufman Et Broad;KOF
FR0004023208;Bassac;BASS
FR0004034072;Xilam Animation;XIL
FR0004040608;Abc Arbitrage;ABCA
FR0004050250;Neurones;NRO
FR0004056851;Valneva;VLA
FR0004065605;Medincell;MEDCL
FR0004110310;Esi Group;ESI
FR0004155000;Groupe Sfpi;SFPI
FR0004156297;Linedata Services;LIN
FR0004159473;Hexaom;HEXA
FR0004163111;Genfit;GNFT
FR0004170017;LNA Sante;LNA
FR0004175842;Selectirente;SELER
FR0004180537;Akka Technologies;AKA
FR0004180578;Sword Group;SWP
FR0004186856;Vetoquinol;VETO
FR0004188670;Tarkett;TKTT
FR0004527638;Exel Industries A;EXE
FR0006864484;Laurent-Perrier;LPE
FR0010241638;Mercialys;MERY
FR0010282822;SES Imagotag;SESL
FR0010291245;Verimatrix;VMX
FR0010309096;Vitura;VTR
FR0010331421;Innate Pharma;IPH
FR0010341032;Fonciere Inea;INEA
FR0010417345;Dbv Technologies;DBV
FR0010483768;CRCAM Brie Pic2CCI;CRBP2
FR0010501692;Generix;GENX
FR0010557264;Ab Science;AB
FR0010588079;Frey;FREY
FR0011027135;Patrimoine et Commerce;PAT
FR0011040500;Axway Software;AXW
FR0011341205;Nanobiotix;NANO
FR0011466069;Ekinops;EKI
FR0011742329;McPhy Energy;MCPHY
FR0011950732;Elior Group;ELIOR
FR0011992700;Ateme;ATEME
FR0012333284;Abivax;ABVX
FR0012432516;Poxel;POXEL
FR0012532810;Waga Energy;WAGA
